Timestamp,Age,Industry,Functional area of job,Job title,Additional context,Annual salary,Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City/region,Remote or on-site?,Unionized?,Years of experience,Years in field,Highest level of education,Gender,Race,Disabled?
4/8/2025 11:38:09,35-44,Government & Public Administration,Government & Public Administration,Senior Policy Analyst,,114000,,CAD,,,Canada,,Atlantic Canada,Fully remote,Yes,8-10 years,5-7 years,Master's degree,Woman,White,Yes
4/8/2025 11:38:09,25-34,Education (Higher Education),Financial aid ,Scholarship Coordinator ,,56000,0,USD,,,United States,Illinois,Chicagoland ,Hybrid,Yes,8-10 years,5-7 years,Master's degree,Other or prefer not to answer,White,No
4/8/2025 11:38:14,35-44,Health Care,Health Care,medical physicist,I perform regulatory and accreditation testing on medical imaging equipment,125000,0,USD,,"I am new to this field, and will be eligible for a substantial bonus in the future, but currently don't get one.",United States,Ohio,Midwest,Other/it's complicated,No,11-20 years,2-4 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:38:14,35-44,Insurance,Computing or Tech,Azure Virtual Desktop Engineer,,100000,,USD,,,United States,Ohio,Cleveland,Hybrid,No,21-30 years,11-20 years,Bachelor's degree,Man,White,No
4/8/2025 11:38:15,35-44,Health Care,Administration,Revenue Integrity Coding Specialist,Medical coder with additional training in compliance and back end revenue skills,62400,0,USD,,,United States,Maryland,Annapolis,Hybrid,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,Yes
4/8/2025 11:38:17,35-44,Health Care,Accounting,Billing Supervisor,,47840,0,USD,,,United States,Texas,"Austin, TX",On-site,No,8-10 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:38:17,45-54,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Associate Director of Education ,,82300,4000,USD,,,United States,Illinois,Chicago suburbs,Hybrid,No,21-30 years,11-20 years,,Woman,White,No
4/8/2025 11:38:22,35-44,Retail,Retail,Operations Specialist,Management level,48000,2000,USD,,,United States,Texas,Dallas,On-site,No,21-30 years,11-20 years,Some college,Woman,White,Yes
4/8/2025 11:38:22,45-54,Utilities & Telecommunications,Utilities & Telecommunications,Operations Analyst,,137000,1000,USD,,,United States,Washington,EVERETT,Hybrid,No,21-30 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:38:30,25-34,Health Care,Science,Data Analyst I,,61811,0,USD,,,United States,Massachusetts,Boston,Hybrid,,5-7 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:38:32,35-44,Biotechnology & Pharma,Biotechnology & Pharma,Associate Director Clinical Operations,,177000,25000,USD,,,United States,Maryland,Rockville,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:38:35,65 or over,Government & Public Administration,Communications,Project Coordinator,I am the plain language and accessibility editor for a communications group within a branch of a ministry in the Government of Canada,104000,,CAD,,I work part time,Canada,,National Capital Region,Hybrid,Yes,21-30 years,8-10 years,Some college,Woman,White,Not sure / it's complicated
4/8/2025 11:38:35,18-24,Administration,Computing or Tech,junior developer,,38400,,EUR,,,Germany,,-,Hybrid,Yes,2-4 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 11:38:40,35-44,Nonprofits,"Galleries, Libraries, Archives & Museums",archivist,,59000,,USD,,,United States,Kentucky,Louisville,On-site,No,11-20 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:38:46,55-64,Aerospace & Defense,Computing or Tech,GIS Manager,,79000,,USD,,,United States,South Carolina,Columbia,On-site,No,21-30 years,8-10 years,Master's degree,Woman,,No
4/8/2025 11:38:47,35-44,Education (Higher Education),Administration,Senior Grants Administrator,,94000,0,USD,,,United States,Vermont,Fairfax County,Hybrid,No,21-30 years,11-20 years,Master's degree,Woman,White,Yes
4/8/2025 11:38:49,25-34,Government & Public Administration,Government & Public Administration,Project Manager ,,120000,1000,USD,,,United States,District of Columbia,DC,Other/it's complicated,No,11-20 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:38:51,45-54,Health Care,Health Care,Director of Rehabilitation,,123030,0,USD,,,United States,New Jersey,Trenton,On-site,Yes,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 11:38:52,25-34,Nonprofits,Administration,Executive Assistant ,,54000,0,CAD,,,Canada,,"Halifax, Nova Scotia",Fully remote,No,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,Yes
4/8/2025 11:38:56,35-44,Education (Higher Education),Education (Higher Education),Program Director,,75000,0,USD,,,United States,North Carolina,Durham,Hybrid,No,21-30 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:38:56,35-44,Banking & Finance,Banking & Finance,Assistant Branch Manager,,77500,15000,USD,,,United States,Georgia,Savannah,On-site,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:39:03,55-64,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Math teacher,,116500,0,USD,,,United States,Massachusetts,Metrowest ,On-site,Yes,31-40 years,21-30 years,Doctorate,Woman,White,No
4/8/2025 11:39:09,25-34,"Galleries, Libraries, Archives & Museums",Science,Water Quality Specilist,Water chemist/biologist for a large aquarium,74000,2000,USD,,,United States,California,California Central Coast,On-site,Yes,5-7 years,5-7 years,Master's degree,Man,White,No
4/8/2025 11:39:15,35-44,Government & Public Administration,Social Work,Workforce Programs Manager,,85000,,USD,,,United States,Maryland,Baltimore,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:39:17,55-64,Banking & Finance,Computing or Tech,Senior data warehouse analyst,,145000,38000,USD,,,United States,Iowa,Des Moines ,Hybrid,No,31-40 years,31-40 years,Bachelor's degree,Woman,White,No
4/8/2025 11:39:28,45-54,Insurance,Accounting,"Director, Accounting",,162000,32000,CAD,,,Canada,,Vancouver,Hybrid,No,21-30 years,11-20 years,CPA,Woman,Asian or Asian American,No
4/8/2025 11:39:29,45-54,Education (Higher Education),Administration,Director ,I'm the director of the library at a small university,90331,0,USD,,,United States,Illinois,Chicago suburbs,On-site,,21-30 years,11-20 years,Master's degree,Woman,White,Yes
4/8/2025 11:39:32,45-54,Engineering,Engineering,Senior Mechanical Engineer II,,130000,6500,USD,,,United States,New Hampshire,Merrimack,On-site,No,21-30 years,21-30 years,Bachelor's degree,Man,White,No
4/8/2025 11:39:33,35-44,Computing or Tech,Government & Public Administration,Testing engineer,,44200,11000,EUR,,,Belgium,,Brussels,Hybrid,Yes,8-10 years,1 year or less,Master's degree,Other or prefer not to answer,White,Not sure / it's complicated
4/8/2025 11:39:33,35-44,Education (Early/Primary/Secondary),"Galleries, Libraries, Archives & Museums",school library media specialst,Certified teacher in k-12 library science ,81000,3000,USD,,,United States,Pennsylvania,Harrisburg,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:39:34,25-34,Computing or Tech,"Marketing, Advertising & PR",Content Marketing Manager,,110000,,USD,,,United States,Missouri,Kansas City,Fully remote,No,8-10 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:39:35,35-44,Government & Public Administration,Education (Early/Primary/Secondary),Training and Development Specialist,,65104,0,USD,,,United States,Texas,Coastal Bend,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:39:36,25-34,Nonprofits,"Galleries, Libraries, Archives & Museums",Archivist,,65000,0,USD,,,United States,New Jersey,Newark,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:39:37,25-34,Law Enforcement & Security,Communications,Public Safety Telecommunicator,911 operator/dispatcher,85000,,USD,,Work 4 extra hours every 2 weeks,United States,Virginia,Northern VA/DMV,On-site,No,8-10 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 11:39:37,35-44,Business or Consulting,Computing or Tech,Data Analyst,,85000,,USD,,,United States,Arkansas,Northwest Arkansas,Fully remote,No,11-20 years,2-4 years,Master's degree,Man,White,No
4/8/2025 11:39:38,35-44,Nonprofits,"Marketing, Advertising & PR",Marketing Coordinator,,61000,,USD,,,United States,Ohio,Northeast Ohio,Fully remote,No,11-20 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:39:38,45-54,Nonprofits,Administration,Grant Manager II,I manage a portfolio of ~$20M in nonprofit grants for the city,113000,,USD,,I am eligible for a city pension after 5 years ,United States,Oregon,Portland ,Hybrid,Yes,21-30 years,21-30 years,Some college,Man,White,No
4/8/2025 11:39:38,35-44,Banking & Finance,Engineering,staff software engineer,,200000,,USD,,,United States,Washington,seattle,Fully remote,No,11-20 years,11-20 years,Bachelor's degree,,,
4/8/2025 11:39:40,25-34,Nonprofits,Nonprofits,Director of Membership,,153000,,USD,,,United States,District of Columbia,Washington DC,Hybrid,No,8-10 years,8-10 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:39:42,45-54,Banking & Finance,Computing or Tech,Network operations manager,I do tech support and network operations and a certain amount of decisionmaking for a boutique investment firm. My boss is the company CIO.,110000,,USD,,The gross income figure is what I remember from my tax form and as such includes my annual bonus.,United States,Massachusetts,Boston,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:39:42,35-44,Accounting,Accounting,Fractional Controller,"I own my own company, but that's my title with the companies I am contracted with",135000,,CAD,,,Canada,,"Halifax, Nova Scotia",Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 11:39:43,35-44,Nonprofits,Law,Senior Staff Attorney,,116586,0,USD,,,United States,New York,NYC,Hybrid,Yes,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,White,No
4/8/2025 11:39:46,25-34,Accounting,Computing or Tech,Senior Software Engineer,,6500,1000,EUR,,,Belgium,,Ghent,Hybrid,No,8-10 years,8-10 years,Doctorate,Woman,White,No
4/8/2025 11:39:48,45-54,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Youth Services Manager,Youth Services Manager,51000,0,USD,,,United States,Pennsylvania,Philadelphia Metro,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,Yes
4/8/2025 11:39:53,45-54,Computing or Tech,Computing or Tech,Senior Product Support Specialist,,74360,4200,USD,,,United States,New Mexico,Albuquerque,Fully remote,No,31-40 years,21-30 years,Some college,Woman,White,Not sure / it's complicated
4/8/2025 11:39:54,35-44,,Entertainment,Dramaturg,,48000,,EUR,,,Germany,,Dortmund ,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:39:57,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Archivist,,82000,,USD,,,United States,Massachusetts,Boston,On-site,No,11-20 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:39:59,35-44,Insurance,Data,Data Governance ,,154000,20000,USD,,,United States,Indiana,Remote,Fully remote,No,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 11:40:08,25-34,Heavy Crane & Heavy Transport,"Marketing, Advertising & PR",Marketing & Communications Coordinator,responsible for western Canada - 9 branches across 2 provinces,70000,6000,CAD,,"bonus is maximum 10% of gross base pay, depends on personal and company performance in the prior year",Canada,,"Edmonton, Alberta",Hybrid,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:40:13,45-54,Nonprofits,Engineering,Senior Program Manager,,149000,,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:13,35-44,Education (Higher Education),Communications,Marketing Director,,94000,3000,USD,,,United States,Massachusetts,North Shore,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",No
4/8/2025 11:40:14,35-44,Government & Public Administration,Program and Project Management,Project Manager (Senior Administrative Services Analyst),,128000,0,USD,,,United States,California,Ventura County region,On-site,Yes,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:16,45-54,Nonprofits,Recruitment or HR,HR Director,My Agency is quasi non-profit/ quasi state government,55000,0,USD,,,United States,Alabama,Montgomery,On-site,No,31-40 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:19,35-44,Health Care,Clerical,Laboratory assistant,,41600,500,USD,,,United States,Michigan,Detroit,On-site,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,Yes
4/8/2025 11:40:18,35-44,Nonprofits,Government Affairs & Lobbying,Associate Policy Principal,High-level policy analyst,135000,0,USD,,,United States,Virginia,DC Metro area,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:40:19,45-54,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Archivist ,,105000,0,USD,,,United States,Montana,Intermountain ,Other/it's complicated,Yes,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:40:20,55-64,Education (Early/Primary/Secondary),Computing or Tech,District Technology Coordinator,,148000,0,USD,,,United States,Illinois,Wilmette,On-site,Yes,31-40 years,31-40 years,Master's degree,Woman,White,No
4/8/2025 11:40:22,25-34,Health Care,Health Care,Medical coder,NOT computer programming,51600,500,USD,,,United States,New York,Queens,Hybrid,No,1 year or less,1 year or less,Some college,Non-binary,Asian or Asian American,Not sure / it's complicated
4/8/2025 11:40:27,35-44,Nonprofits,Media & Digital,Associate Editor,,49000,1000,USD,,,United States,Texas,Austin,Fully remote,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:29,35-44,Health Care,Government & Public Administration,Policy advisor,,70000,,EUR,,"Consisting of base salary, end-of-year and vacation",Netherlands,,Holland ,Hybrid,Yes,11-20 years,5-7 years,Associate's degree,Woman,Middle Eastern or Northern African,Not sure / it's complicated
4/8/2025 11:40:29,25-34,Nonprofits,Media & Digital,Digital Director,,125000,,USD,,,United States,Massachusetts,Boston,Fully remote,No,5-7 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:29,35-44,Nonprofits,Nonprofits,State/Regional Director,,125000,0,USD,,,United States,California,San Francisco Bay Area,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:40:29,35-44,Education (Higher Education),Administration,Associate Director,,93000,0,USD,,,United States,California,Los Angeles,Hybrid,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:32,35-44,Utilities & Telecommunications,Banking & Finance,Senior Manager,,190000,110000,USD,,,United States,New York,New York,Other/it's complicated,No,11-20 years,11-20 years,Master's degree,Man,White,No
4/8/2025 11:40:33,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Content Strategist,,57000,500,USD,,,United States,Virginia,Harrisonburg,Fully remote,No,5-7 years,2-4 years,Some college,Non-binary,White,No
4/8/2025 11:40:34,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Systems Librarian,,84589,0,USD,,,United States,Pennsylvania,central,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,Yes
4/8/2025 11:40:34,35-44,Insurance,Computing or Tech,Product Manager,,125000,25000,GBP,,,United Kingdom,,London,Fully remote,No,11-20 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:40:35,25-34,Education (Higher Education),Science,Graduate Research Assistant,Student position,37500,,USD,,,United States,Utah,Salt Lake City,On-site,No,2-4 years,2-4 years,Master's degree,Woman,White,Yes
4/8/2025 11:40:36,35-44,Banking & Finance,Supply Chain Management,Associate Supply Chain Manager,,85000,3500,USD,,,United States,Florida,"Tampa Bay, FL",Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:37,18-24,Manufacturing,welding,welder,,52000,,USD,,,United States,Ohio,Cincinnati,On-site,No,5-7 years,2-4 years,Trade certificate,Non-binary,White,No
4/8/2025 11:40:39,25-34,Banking & Finance,Computing or Tech,Cybersecurity Architect,,106000,2000,USD,,,United States,North Carolina,Eastern Seaboard,Other/it's complicated,No,2-4 years,2-4 years,Some college,Non-binary,White,Not sure / it's complicated
4/8/2025 11:40:44,25-34,Education (Higher Education),Administration,Faculty Assistant,I'm a PA to four research scientists and their labs. My in-the-system job title is Administrative Officer 2.,92352,0,USD,,,United States,California,San Francisco,Hybrid,Yes,11-20 years,8-10 years,Bachelor's degree,Non-binary,White,Not sure / it's complicated
4/8/2025 11:40:47,25-34,Government & Public Administration,Accounting,Budget Analyst,Many duties synonymous to Financial Analyst,57300,300,USD,,,United States,,Midwest,Hybrid,No,8-10 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 11:40:48,45-54,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Manager,,98190,5000,USD,,,United States,New Jersey,Philadelphia Metro Area,Fully remote,No,11-20 years,11-20 years,Some college,Woman,White,Yes
4/8/2025 11:40:50,25-34,Accounting,Computing or Tech,Software Engineer,,95000,3000,USD,,,United States,New York,Rochester,Fully remote,No,5-7 years,5-7 years,Bachelor's degree,Non-binary,White,Yes
4/8/2025 11:40:56,35-44,Insurance,Insurance,Program Director,,145000,27000,USD,,,United States,Utah,Salt Lake City,Fully remote,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:07,35-44,"Marketing, Advertising & PR",Media & Digital,Content Developer,I write 40k words per month. That's a LOT. That's Charlotte's Web,65000,,USD,,,United States,Idaho,Boise,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,Yes
4/8/2025 11:41:08,35-44,Health Care,Business or Consulting,Director of Product Strategy ,"I work on our app and website.  It’s very similar to being a product manager at a tech company, but here we split that job into a tech and business side. ",166000,18000,USD,,Bonuses have varied from $3k in a year the company and I both did poorly to $40k in a year we both did well. I’m hoping for $20k this year given a weak market. ,United States,Massachusetts,Boston,Hybrid,No,11-20 years,5-7 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:41:09,35-44,Science,Health Care,Director,,168000,,USD,,,United States,California,San Francisco ,Hybrid,No,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 11:41:16,35-44,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Instructional Coach,"evaluate teachers, provide coaching and professional development",108000,5000,USD,,,United States,Massachusetts,Boston,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:41:17,25-34,Education (Higher Education),Nonprofits,Development assistant,Administrative role supporting fundraisers at university foundation,48506,0,USD,,,United States,Kansas,Kansas City metro,On-site,No,5-7 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:17,65 or over,Computing or Tech,Computing or Tech,Customer Service Technical Coordinator,Level 1 tech support (senior),93000,2500,USD,,,United States,New York,New York City,Fully remote,No,41 years or more,11-20 years,Bachelor's degree,Woman,Black or African American,No
4/8/2025 11:41:20,35-44,Government & Public Administration,Government & Public Administration,Legislative analyst,,76615,0,USD,,,United States,Arkansas,Little Rock,Other/it's complicated,No,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 11:41:21,25-34,Education (Higher Education),Education (Higher Education),Chemistry Tutor & Physical Science Lab Asst,,48600,,USD,,,United States,Minnesota,Minneapolis suburbs,Hybrid,Yes,5-7 years,2-4 years,Master's degree,Woman,White,Yes
4/8/2025 11:41:21,35-44,Education (Higher Education),Engineering,Associate professor,,150000,,USD,,,United States,Massachusetts,Boston,On-site,No,11-20 years,8-10 years,Doctorate,"Woman, Non-binary",Black or African American,Not sure / it's complicated
4/8/2025 11:41:27,45-54,Research,Project Management,Senior Manager,,85000,,USD,,,United States,Pennsylvania,Philadelphia,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:41:30,25-34,Hospitality & Events,Hospitality & Events,Operations Manager,,88000,8000,USD,,,United States,Washington,Seattle,On-site,No,11-20 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:30,35-44,Computing or Tech,Computing or Tech,Staff Software Engineer ,,180000,20000,USD,,,United States,Arkansas,Fayetteville,Fully remote,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:30,45-54,Consumer Goods,Computing or Tech,IT Analyst,,111800,7000,USD,,,United States,New York,New York City,On-site,No,21-30 years,21-30 years,Some college,Man,White,Not sure / it's complicated
4/8/2025 11:41:33,25-34,Media & Digital,Media & Digital,Editor,,92000,0,USD,,,United States,Illinois,Chicago,Fully remote,No,8-10 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:34,25-34,Government & Public Administration,Social Work,Social worker,,87720,,USD,,,United States,Arkansas,Little Rock,On-site,No,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:41:34,25-34,"Marketing, Advertising & PR",Recruitment or HR,People Ops Generalist,,92000,0,USD,,,United States,Washington,Seattle,Fully remote,No,8-10 years,5-7 years,Master's degree,Woman,"Black or African American, Native American or Alaska Native, White",Not sure / it's complicated
4/8/2025 11:41:35,35-44,Law,Law,Business immigration paralegal ,,78650,2500,CAD,,,Canada,,Montréal,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:43,55-64,Education (Higher Education),Education (Early/Primary/Secondary),professor,,84000,,USD,,,United States,Texas,South Texas,On-site,No,21-30 years,21-30 years,Doctorate,Woman,White,No
4/8/2025 11:41:47,35-44,Education (Higher Education),Nonprofits,Executive Director,,130000,,USD,,,United States,New Jersey,Newark,Fully remote,No,8-10 years,2-4 years,Doctorate,Woman,White,No
4/8/2025 11:41:50,25-34,Government & Public Administration,Research and Evaluation,Data Project Manager,,92000,,USD,,,United States,New York,New York City,Hybrid,No,2-4 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 11:41:52,45-54,Education (Higher Education),Computing or Tech,Assistant Director of Technology,,130625,10000,USD,,,United States,Michigan,Ann Arbor,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:41:52,25-34,Education (Early/Primary/Secondary),Administration,Department Administrative Assistant,Employed at school board/HQ,56527,,CAD,,,Canada,,"Ottawa, Ontario",On-site,Yes,11-20 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:55,35-44,Biotechnology & Pharma,Biotechnology & Pharma,Associate Director Operations,,160000,25000,USD,,,United States,Massachusetts,Boston,On-site,No,11-20 years,5-7 years,Doctorate,Woman,"Asian or Asian American, White",No
4/8/2025 11:41:56,35-44,Banking & Finance,Administration,Licensed Administrative Assistant,I have the series 7 and 66 securities licenses,47500,,USD,,,United States,Ohio,Northwest Ohio,On-site,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:41:57,45-54,Education (Higher Education),Education (Higher Education),Professor,"I am at a community college, so pay can be very different from what people get at 4-year schools",95000,6000,USD,,The extra money is for teaching extra courses,United States,Maryland,Anne Arundel County,Hybrid,No,21-30 years,21-30 years,Doctorate,Woman,White,No
4/8/2025 11:42:02,25-34,Health Care,Computing or Tech,Business Intelligence Analyst,,108000,,USD,,,United States,Oregon,Portland,Fully remote,Yes,11-20 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 11:42:06,45-54,Education (Higher Education),Education (Higher Education),associate professor and department chair,,76000,,USD,,,United States,Georgia,Macon,On-site,No,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 11:42:07,45-54,Property or Construction,Science,Senior Environmental Manager,,151000,5000,USD,,,United States,Colorado,Denver Metro Area,On-site,No,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:42:08,45-54,Education (Higher Education),Education (Higher Education),Assistant Teaching Professor,Not tenure track,80000,3500,USD,,,United States,Colorado,Denver,Hybrid,No,11-20 years,11-20 years,MFA (terminal degree),Woman,White,No
4/8/2025 11:42:09,45-54,Accounting,Accounting,Accountant,Public accounting,72600,2000,USD,,,United States,Georgia,Atlanta Metro,On-site,No,21-30 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 11:42:11,25-34,Property or Construction,Accounting,Project Accountant,,80000,1000,USD,,"No regular bonus, just a profit share when work is good.",United States,Washington,Greater Seattle Area,On-site,No,5-7 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:42:11,25-34,Food Service,Customer Experience,process improvement specialist,looks at CX processes and suggests changes/improvements,65000,1000,USD,,some additional comp in the form of cell phone/internet stipends. (150 per month). ,United States,Oregon,Southern Oregon,Fully remote,No,11-20 years,11-20 years,Some college,Woman,White,No
4/8/2025 11:42:12,35-44,Entertainment,"Marketing, Advertising & PR",Product Operations Manager,Marketing | CRM,124373,8481,USD,,,United States,Texas,Dallas–Fort Worth,Fully remote,No,21-30 years,5-7 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:42:18,35-44,Banking & Finance,Computing or Tech,Staff Systems Analyst,I do Workday,191500,30000,USD,,,United States,Colorado,Denver,Fully remote,No,11-20 years,8-10 years,Bachelor's degree,Non-binary,White,No
4/8/2025 11:42:18,25-34,Nonprofits,Science,Research Director ,,68000,,GBP,,,United Kingdom,,Remote,Fully remote,No,5-7 years,5-7 years,Doctorate,Woman,White,No
4/8/2025 11:42:21,35-44,"Galleries, Libraries, Archives & Museums",Education (Early/Primary/Secondary),Director of Library Services,"Boarding school, 10 month administration",70000,3000,USD,,"10 working months, 12 paid",United States,Connecticut,Cheshire,On-site,No,11-20 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:42:23,35-44,Government & Public Administration,Health Care,Manager,,104000,,CAD,,,Canada,,Alberta,Hybrid,No,8-10 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:42:26,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums","Head, Student Success",Manager of an academic library department,100000,0,USD,,,United States,Virginia,"Richmond, VA",Hybrid,No,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 11:42:26,35-44,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Instructional Specialist,,62000,,USD,,,United States,Tennessee,Nashville,On-site,Yes,11-20 years,11-20 years,Bachelor's degree,Woman,White,Yes
4/8/2025 11:42:28,25-34,Government & Public Administration,Communications,Technical Proposal Writer,,72000,,CAD,,,Canada,,Ottawa,Hybrid,No,5-7 years,5-7 years,Bachelor's degree,Woman,White,Yes
4/8/2025 11:42:33,25-34,Nonprofits,Government Affairs & Lobbying,Director of Public Policy,,78000,2000,USD,,,United States,Wisconsin,Madison,Hybrid,No,8-10 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:42:34,45-54,Law,Administration,Office Manager,Closer to COO - I handle everything that isn't lawyering or accounting. I even bill paralegal time.,124200,20000,USD,,,United States,Delaware,"Wilmington, DE",On-site,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:42:34,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Archivist,,59000,5000,USD,,,United States,District of Columbia,Washington,Other/it's complicated,No,11-20 years,8-10 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:42:41,45-54,Retail,Sales,Customer service supervisor,,29900,,USD,,"This is what I would earn if I worked full time. However, I'm part time due to minor disabilities. ",United States,Pennsylvania,Lehigh Valley,On-site,No,21-30 years,11-20 years,Associate's degree,Woman,White,Yes
4/8/2025 11:42:45,25-34,Property or Construction,Business or Consulting,Analyst,,120000,,USD,,,United States,Arizona,Phoenix,Fully remote,No,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:42:46,35-44,Manufacturing,Sales,Senior Sales Ops Analyst,,113000,5000,USD,,,United States,Illinois,Chicago suburbs,Fully remote,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:42:48,25-34,Education (Higher Education),Science,Research Technician,,40000,,USD,,,United States,Alabama,Birmingham,On-site,No,8-10 years,8-10 years,Doctorate,,,No
